gene_id	gene_name	total_reads	total_bases	covered_positions	gene_length	percent_coverage	mean_depth	RPKM	TPM
183	aph(6)-Ic	3	105	37	281	13.17	2.84	0.00	0.00
189	aph(3')-Ia	8	209	48	272	17.65	1.00	0.00	0.00
195	aph(6)-Smalt	1	22	22	271	8.12	1.00	0.00	0.00
201	ant(2'')-Ia	2	88	44	178	24.72	2.00	0.00	0.00
208	aac(6')_E606	3	92	24	148	16.22	1.00	0.00	0.00
213	aac(6')-Ib-AKT	36	1023	48	185	25.95	19.67	0.00	0.00
215	aac(6')-F72	1	46	46	184	25.00	1.00	0.00	0.00
218	aac(6')-IIc	6	136	0	194	0.00	0.00	0.00	0.00
224	aac(6')_E141	2	68	0	149	0.00	0.00	0.00	0.00
237	aac(6')-Ib-G	15	478	78	185	42.16	6.13	0.00	0.00
238	aac(6')_Entco	67	2134	0	183	0.00	0.00	0.00	0.00
242	aac(6')_E553	239	8692	0	149	0.00	0.00	0.00	0.00
244	aac(3)-Ih	3	106	0	153	0.00	0.00	0.00	0.00
245	aacA-ENT2	607	22575	114	183	62.30	32.71	0.00	0.00
247	aac(6')-Ib'	375	12798	104	420	24.76	8.26	0.00	0.00
267	aph(2'')-Ia	23	702	55	480	11.46	12.76	0.00	0.00
277	aph(3')-Ia	639	22285	0	272	0.00	0.00	0.00	0.00
283	aac(6')-It	406	15715	76	147	51.70	12.99	0.00	0.00
285	ant(2'')-Ia	458	17842	0	178	0.00	0.00	0.00	0.00
288	aac(6')-35	253	9133	94	180	52.22	52.81	0.00	0.00
292	ant(3'')-IIc	4	130	24	263	9.13	1.00	0.00	0.00
293	aacA-ACI5	4	180	58	147	39.46	3.10	0.00	0.00
297	aph(2'')-IIa	1	31	31	300	10.33	1.00	0.00	0.00
301	aac(3)-XI	5	170	0	149	0.00	0.00	0.00	0.00
302	aac(6')-31	8	295	32	185	17.30	1.84	0.00	0.00
303	aac(6')-Ib-cr4	1	31	31	185	16.76	1.00	0.00	0.00
304	aac(6')_Strep	33	944	39	166	23.49	23.77	0.00	0.00
307	aac(6')_E111	98	2712	19	145	13.10	56.63	0.00	0.00
309	aacA-ACI4	316	11128	59	146	40.41	80.14	0.00	0.00
312	aac(6')-Iv	1	33	33	147	22.45	1.00	0.00	0.00
316	aac(6')-Ib-G	305	11218	0	185	0.00	0.00	0.00	0.00
320	aacA-STR-7	19	612	62	158	39.24	3.68	0.00	0.00
345	aph(3')-VIIIb	1	31	31	260	11.92	1.00	0.00	0.00
365	aph(2'')-IVa	301	11040	0	302	0.00	0.00	0.00	0.00
366	aac(2')-Ib	6	265	41	196	20.92	2.00	0.00	0.00
371	aac(6')_Yersi	6	236	0	147	0.00	0.00	0.00	0.00
379	aac(6')_Serra	42	1170	23	147	15.65	31.43	0.00	0.00
387	aph(2'')-Ig	2	68	0	307	0.00	0.00	0.00	0.00
388	aac(6')-Ib-D181Y	2	53	0	185	0.00	0.00	0.00	0.00
393	aac(3)-IVb	18	704	29	266	10.90	1.69	0.00	0.00
396	aac(6')_Serra	25	1008	113	147	76.87	3.88	0.00	0.00
400	aac(6')-Iae	1	20	0	184	0.00	0.00	0.00	0.00
407	aac(6')-Ie_fam	1	20	20	484	4.13	1.00	0.00	0.00
413	aph(2'')-Ii	6	221	97	298	32.55	2.28	0.00	0.00
415	aac(6')_Serra	4	108	0	147	0.00	0.00	0.00	0.00
416	aac(6')_Serra	4	138	0	147	0.00	0.00	0.00	0.00
419	aacA-ENT1	10	324	60	183	32.79	1.00	0.00	0.00
420	aac(6')_Strep	8	263	60	166	36.14	1.00	0.00	0.00
424	aac(6')-Iu	2	62	24	147	16.33	1.00	0.00	0.00
425	aacA-ACI6	1	21	0	147	0.00	0.00	0.00	0.00
429	aacA-STR-13	33	944	34	161	21.12	26.71	0.00	0.00
432	aac(3)-Id	1	31	15	159	9.43	1.00	0.00	0.00
440	aacA47	81	2676	0	185	0.00	0.00	0.00	0.00
441	aac(6')_E550	336	11208	131	145	90.34	79.46	0.00	0.00
443	aac(6')-Iag	7	307	90	168	53.57	3.37	0.00	0.00
444	aac(6')-Ib-G	25	771	47	185	25.41	3.60	0.00	0.00
445	aac(6')-Ib-AKT	12	293	45	185	24.32	1.51	0.00	0.00
446	aac(6')-Iaa	13	514	0	146	0.00	0.00	0.00	0.00
453	aacA-ACI5	28	1156	0	147	0.00	0.00	0.00	0.00
467	aac(6')_Serra	98	2712	21	147	14.29	60.57	0.00	0.00
483	aac(6')-Ia	2829	102200	69	186	37.10	1480.80	0.00	0.00
492	aac(6')-Ib-cr11	3	60	0	185	0.00	0.00	0.00	0.00
503	blaESP-1	9	284	75	291	25.77	3.79	0.00	0.00
504	blaCTX-M-113	25	775	76	292	26.03	5.49	0.00	0.00
506	blaFOX-13	8	263	172	383	44.91	1.53	0.00	0.00
511	blaGIM-2	512	14780	96	251	38.25	107.67	0.00	0.00
512	blaCMY-87	6	236	0	382	0.00	0.00	0.00	0.00
517	blaCMY-81	1	21	0	382	0.00	0.00	0.00	0.00
518	blaCTX-M-46	36	1027	48	292	16.44	19.75	0.00	0.00
523	blaCTX-M-102	3	79	0	292	0.00	0.00	0.00	0.00
528	blaGOB-11	9	268	71	293	24.23	3.49	0.00	0.00
530	blaCTX-M-48	1	20	20	292	6.85	1.00	0.00	0.00
533	blaGES-8	1	20	20	288	6.94	1.00	0.00	0.00
539	blaGES-23	5	100	20	288	6.94	5.00	0.00	0.00
540	blaCTX-M-41	6	248	84	292	28.77	2.95	0.00	0.00
541	blaGES-25	94	3136	99	288	34.38	31.68	0.00	0.00
542	blaCMY-90	32	1109	66	382	17.28	3.27	0.00	0.00
570	blaCTX-M-43	1	23	23	292	7.88	1.00	0.00	0.00
571	blaCMY-85	147	5635	118	382	30.89	6.93	0.00	0.00
580	blaCTX-M-173	15	445	24	292	8.22	7.96	0.00	0.00
591	blaCTX-M-151	8	200	32	305	10.49	6.25	0.00	0.00
593	blaCTX-M-147	723	28168	210	292	71.92	41.65	0.00	0.00
599	blaCTX-M-84	23	845	65	292	22.26	6.89	0.00	0.00
600	blaCTX-M-85	8	295	32	292	10.96	1.84	0.00	0.00
603	blaCTX-M-175	3	79	0	292	0.00	0.00	0.00	0.00
605	blaCTX-M-88	19	580	42	292	14.38	1.00	0.00	0.00
613	blaCTX-M-68	3	79	0	292	0.00	0.00	0.00	0.00
615	blaCTX-M-69	5	100	0	292	0.00	0.00	0.00	0.00
622	blaCTX-M-90	347	13161	217	292	74.32	60.65	0.00	0.00
623	blaCTX-M-161	80	3256	142	292	48.63	22.93	0.00	0.00
629	blaCTX-M-54	1	31	31	292	10.62	1.00	0.00	0.00
630	blaCTX-M-52	5	182	98	292	33.56	1.86	0.00	0.00
637	blaCTX-M-126	1	22	22	292	7.53	1.00	0.00	0.00
640	blaCTX-M-124	4	81	21	292	7.19	3.86	0.00	0.00
642	blaDHA-24	55	1714	0	380	0.00	0.00	0.00	0.00
658	blaCTX-M-112	138	4628	141	292	48.29	32.67	0.00	0.00
661	blaEC-18	25	743	98	378	25.93	6.48	0.00	0.00
662	blaDHA-10	1	38	0	380	0.00	0.00	0.00	0.00
664	blaCTX-M-91	599	22245	77	292	26.37	4.17	0.00	0.00
665	blaCTX-M-176	293	10287	86	292	29.45	3.17	0.00	0.00
666	blaCTX-M-177	35	874	0	292	0.00	0.00	0.00	0.00
