gene_name	drug_class	read_count	rpkm	tpm	coverage_depth	coverage_breadth
aph(3')-VIIIb	AMINOGLYCOSIDE	1	0.13	0.00	0.00	11.92
aph(2'')-IVa	AMINOGLYCOSIDE	301	32.52	0.00	1.00	16.56
aac(2')-Ib	AMINOGLYCOSIDE	6	1.00	0.00	0.03	25.51
aac(6')_Yersi	AMINOGLYCOSIDE	6	1.33	0.00	0.04	29.93
aac(6')_Serra	AMINOGLYCOSIDE	42	9.32	0.00	0.29	31.97
aph(2'')-Ig	AMINOGLYCOSIDE	2	0.21	0.00	0.01	11.40
aac(6')-Ib-D181Y	AMINOGLYCOSIDE	2	0.35	0.00	0.01	17.84
aac(3)-IVb	AMINOGLYCOSIDE	18	2.21	0.00	0.07	18.42
aac(6')_Serra	AMINOGLYCOSIDE	25	5.55	0.00	0.17	34.01
aac(6')-Iae	AMINOGLYCOSIDE	1	0.18	0.00	0.01	10.87
aac(6')-Ie_fam	AMINOGLYCOSIDE	1	0.07	0.00	0.00	4.13
aph(2'')-Ii	AMINOGLYCOSIDE	6	0.66	0.00	0.02	16.11
aac(6')_Serra	AMINOGLYCOSIDE	4	0.89	0.00	0.03	18.37
aac(6')_Serra	AMINOGLYCOSIDE	4	0.89	0.00	0.03	25.85
aacA-ENT1	AMINOGLYCOSIDE	10	1.78	0.00	0.05	25.68
aac(6')_Strep	AMINOGLYCOSIDE	8	1.57	0.00	0.05	28.31
aac(6')-Iu	AMINOGLYCOSIDE	2	0.44	0.00	0.01	25.85
aacA-ACI6	AMINOGLYCOSIDE	1	0.22	0.00	0.01	14.29
aacA-STR-13	AMINOGLYCOSIDE	33	6.69	0.00	0.20	29.81
aac(3)-Id	AMINOGLYCOSIDE	1	0.21	0.00	0.01	19.50
aacA47	AMINOGLYCOSIDE	81	14.29	0.00	0.44	27.03
aac(6')_E550	AMINOGLYCOSIDE	336	75.62	0.00	2.32	34.48
aac(6')-Iag	AMINOGLYCOSIDE	7	1.36	0.00	0.04	29.17
aac(6')-Ib-G	AMINOGLYCOSIDE	25	4.41	0.00	0.14	22.70
aac(6')-Ib-AKT	AMINOGLYCOSIDE	12	2.12	0.00	0.06	23.78
aac(6')-Iaa	AMINOGLYCOSIDE	13	2.91	0.00	0.09	34.25
aacA-ACI5	AMINOGLYCOSIDE	28	6.22	0.00	0.19	34.01
aac(6')_Serra	AMINOGLYCOSIDE	98	21.75	0.00	0.67	29.25
aac(6')-Ia	AMINOGLYCOSIDE	2829	496.32	0.00	15.21	26.88
aac(6')-Ib-cr11	AMINOGLYCOSIDE	3	0.53	0.00	0.02	10.81
blaESP-1	BETA_LACTAM	9	1.01	0.00	0.03	14.78
blaCTX-M-113	BETA_LACTAM	25	2.79	0.00	0.09	15.07
blaFOX-13	BETA_LACTAM	8	0.68	0.00	0.02	12.27
blaGIM-2	BETA_LACTAM	512	66.56	0.00	2.04	17.53
blaCMY-87	BETA_LACTAM	6	0.51	0.00	0.02	11.52
blaCMY-81	BETA_LACTAM	1	0.09	0.00	0.00	5.50
blaCTX-M-46	BETA_LACTAM	36	4.02	0.00	0.12	16.44
blaCTX-M-102	BETA_LACTAM	3	0.34	0.00	0.01	11.30
blaGOB-11	BETA_LACTAM	9	1.00	0.00	0.03	13.65
blaCTX-M-48	BETA_LACTAM	1	0.11	0.00	0.00	6.85
blaGES-8	BETA_LACTAM	1	0.11	0.00	0.00	6.94
blaGES-23	BETA_LACTAM	5	0.57	0.00	0.02	6.94
blaCTX-M-41	BETA_LACTAM	6	0.67	0.00	0.02	16.44
blaGES-25	BETA_LACTAM	94	10.65	0.00	0.33	17.36
blaCMY-90	BETA_LACTAM	32	2.73	0.00	0.08	11.52
blaCTX-M-43	BETA_LACTAM	1	0.11	0.00	0.00	7.88
blaCMY-85	BETA_LACTAM	147	12.56	0.00	0.38	13.09
blaCTX-M-173	BETA_LACTAM	15	1.68	0.00	0.05	17.12
blaCTX-M-151	BETA_LACTAM	8	0.86	0.00	0.03	10.49
blaCTX-M-147	BETA_LACTAM	723	80.80	0.00	2.48	17.12
blaCTX-M-84	BETA_LACTAM	23	2.57	0.00	0.08	17.12
blaCTX-M-85	BETA_LACTAM	8	0.89	0.00	0.03	15.07
blaCTX-M-175	BETA_LACTAM	3	0.34	0.00	0.01	11.30
blaCTX-M-88	BETA_LACTAM	19	2.12	0.00	0.07	17.12
blaCTX-M-68	BETA_LACTAM	3	0.34	0.00	0.01	11.30
blaCTX-M-69	BETA_LACTAM	5	0.56	0.00	0.02	6.85
blaCTX-M-90	BETA_LACTAM	347	38.78	0.00	1.19	17.12
blaCTX-M-161	BETA_LACTAM	80	8.94	0.00	0.27	17.12
blaCTX-M-54	BETA_LACTAM	1	0.11	0.00	0.00	10.62
blaCTX-M-52	BETA_LACTAM	5	0.56	0.00	0.02	16.78
blaCTX-M-126	BETA_LACTAM	1	0.11	0.00	0.00	7.53
blaCTX-M-124	BETA_LACTAM	4	0.45	0.00	0.01	7.19
blaDHA-24	BETA_LACTAM	55	4.72	0.00	0.14	12.63
blaCTX-M-112	BETA_LACTAM	138	15.42	0.00	0.47	17.12
blaEC-18	BETA_LACTAM	25	2.16	0.00	0.07	11.64
blaDHA-10	BETA_LACTAM	1	0.09	0.00	0.00	10.00
blaCTX-M-91	BETA_LACTAM	599	66.94	0.00	2.05	17.12
blaCTX-M-176	BETA_LACTAM	293	32.74	0.00	1.00	17.12
blaCTX-M-177	BETA_LACTAM	35	3.91	0.00	0.12	15.41
