gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	confidence
aac(6')-Ib-cr11	aac(6')	AMINOGLYCOSIDE	3	10.8108	0.0162162	227.132	0.529162	LOW
aac(6')-Ib-cr4	aac(6')	AMINOGLYCOSIDE	1	16.7568	0.00540541	75.7107	0.176387	LOW
aac(6')-Ib-cr5	aac(6')	AMINOGLYCOSIDE	4	19.4595	0.0216216	302.843	0.70555	LOW
aac(6')-Ic	aac(6')	AMINOGLYCOSIDE	1	17.6871	0.00680272	95.2822	0.221984	LOW
aac(6')-Id	aac(6')	AMINOGLYCOSIDE	419	33.3333	2.79333	39124.8	91.1512	HIGH
aac(6')-Ie_fam	aac(6')	AMINOGLYCOSIDE	1	4.13223	0.00206612	28.939	0.0674208	LOW
aac(6')-Il	aac(6')	AMINOGLYCOSIDE	2	32.6797	0.0130719	183.091	0.426558	LOW
aac(6')-Is	aac(6')	AMINOGLYCOSIDE	235	34.0136	1.59864	22391.3	52.1663	MODERATE
aac(6')-It	aac(6')	AMINOGLYCOSIDE	406	34.0136	2.7619	38684.6	90.1256	HIGH
aac(6')-Iu	aac(6')	AMINOGLYCOSIDE	2	25.8503	0.0136054	190.564	0.443968	LOW
aac(6')-Iv	aac(6')	AMINOGLYCOSIDE	1	22.449	0.00680272	95.2822	0.221984	LOW
aac(6')-set_A	aac(6')	AMINOGLYCOSIDE	1	10.8108	0.00540541	75.7107	0.176387	LOW
aac(6')_E111	aac(6')_E111	AMINOGLYCOSIDE	98	29.6552	0.675862	9466.45	22.0545	LOW
aac(6')_E141	aac(6')_E141	AMINOGLYCOSIDE	2	23.4899	0.0134228	188.006	0.438009	LOW
aac(6')_E550	aac(6')_E550	AMINOGLYCOSIDE	336	34.4828	2.31724	32456.4	75.6155	HIGH
aac(6')_E553	aac(6')_E553	AMINOGLYCOSIDE	239	33.557	1.60403	22466.8	52.3421	MODERATE
aac(6')_E606	aac(6')_E606	AMINOGLYCOSIDE	3	23.6486	0.0202703	283.915	0.661453	LOW
aac(6')_E963	aac(6')_E963	AMINOGLYCOSIDE	2	31.8182	0.012987	181.902	0.423788	LOW
aac(6')_Entco	aac(6')_Entco	AMINOGLYCOSIDE	67	26.2295	0.36612	5128.05	11.9471	LOW
aac(6')_Serra	aac(6')_Serra	AMINOGLYCOSIDE	98	29.2517	0.666667	9337.65	21.7545	LOW
aac(6')_Strep	aac(6')_Strep	AMINOGLYCOSIDE	8	28.3133	0.0481928	675.011	1.57261	LOW
aac(6')_Yersi	aac(6')_Yersi	AMINOGLYCOSIDE	6	29.932	0.0408163	571.693	1.33191	LOW
aacA-ACI4	aacA	AMINOGLYCOSIDE	316	34.2466	2.16438	30315.4	70.6275	HIGH
aacA-ACI5	aacA	AMINOGLYCOSIDE	28	34.0136	0.190476	2667.9	6.21556	LOW
aacA-ACI6	aacA	AMINOGLYCOSIDE	1	14.2857	0.00680272	95.2822	0.221984	LOW
aacA-ENT1	aacA	AMINOGLYCOSIDE	10	25.6831	0.0546448	765.381	1.78315	LOW
aacA-ENT2	aacA	AMINOGLYCOSIDE	607	27.3224	3.31694	46458.6	108.237	HIGH
aacA-STR-13	aacA	AMINOGLYCOSIDE	33	29.8137	0.204969	2870.89	6.68848	LOW
aacA-STR-7	aacA	AMINOGLYCOSIDE	19	27.8481	0.120253	1684.32	3.92406	LOW
aacA34	aacA34	AMINOGLYCOSIDE	1	17.6871	0.00680272	95.2822	0.221984	LOW
aacA37	aacA37	AMINOGLYCOSIDE	548	37.3134	4.08955	57280.2	133.449	HIGH
aacA43	aacA43	AMINOGLYCOSIDE	2	11.1702	0.0106383	149.005	0.347146	LOW
aacA47	aacA47	AMINOGLYCOSIDE	81	27.027	0.437838	6132.57	14.2874	LOW
ant(2'')-Ia	ant(2'')	AMINOGLYCOSIDE	458	28.0899	2.57303	36039.1	83.9624	HIGH
ant(3'')-IIa	ant(3'')	AMINOGLYCOSIDE	1	18.6312	0.00380228	53.2566	0.124075	LOW
ant(3'')-IIc	ant(3'')	AMINOGLYCOSIDE	4	14.4487	0.0152091	213.026	0.496299	LOW
ant(3'')-Ia	ant(3'')	AMINOGLYCOSIDE	2	13.7405	0.00763359	106.92	0.249097	LOW
ant(6)-Ia	ant(6)	AMINOGLYCOSIDE	8	16.5016	0.0264026	369.808	0.861563	LOW
aph(2'')-IIa	aph(2'')	AMINOGLYCOSIDE	1	10.3333	0.00333333	46.6883	0.108772	LOW
aph(2'')-IVa	aph(2'')	AMINOGLYCOSIDE	301	16.5563	0.996689	13960.1	32.5236	LOW
aph(2'')-Ia	aph(2'')	AMINOGLYCOSIDE	23	10.4167	0.0479167	671.144	1.5636	LOW
aph(2'')-If	aph(2'')	AMINOGLYCOSIDE	11	9.76431	0.037037	518.758	1.20858	LOW
aph(2'')-Ig	aph(2'')	AMINOGLYCOSIDE	2	11.4007	0.00651466	91.2474	0.212584	LOW
aph(2'')-Ii	aph(2'')	AMINOGLYCOSIDE	6	16.1074	0.0201342	282.01	0.657014	LOW
aph(3'')-Ia	aph(3'')	AMINOGLYCOSIDE	2	13.1868	0.00732601	102.612	0.23906	LOW
aph(3'')-Ib	aph(3'')	AMINOGLYCOSIDE	1	7.46269	0.00373134	52.263	0.12176	LOW
aph(3'')-Ic	aph(3'')	AMINOGLYCOSIDE	128	19.6078	0.501961	7030.7	16.3798	LOW
aph(3')-IIIa	aph(3')	AMINOGLYCOSIDE	31	15.0943	0.116981	1638.49	3.81729	LOW
aph(3')-Ia	aph(3')	AMINOGLYCOSIDE	639	18.3824	2.34926	32904.9	76.6605	HIGH
aph(3')-VIIIb	aph(3')	AMINOGLYCOSIDE	1	11.9231	0.00384615	53.8711	0.125506	LOW
aph(3')-Va	aph(3')	AMINOGLYCOSIDE	5	14.4981	0.0185874	260.343	0.606537	LOW
aph(3')-Vb	aph(3')	AMINOGLYCOSIDE	4	13.9623	0.0150943	211.419	0.492554	LOW
aph(3')-Vc	aph(3')	AMINOGLYCOSIDE	4	18.4906	0.0150943	211.419	0.492554	LOW
aph(3')-XV	aph(3')	AMINOGLYCOSIDE	45	16.9811	0.169811	2378.46	5.54123	LOW
aph(6)-Ic	aph(6)	AMINOGLYCOSIDE	3	13.1673	0.0106762	149.535	0.348381	LOW
aph(6)-Smalt	aph(6)	AMINOGLYCOSIDE	1	8.11808	0.00369004	51.6844	0.120412	LOW
blaCMY-81	blaCMY	BETA_LACTAM	1	5.49738	0.0026178	36.6662	0.0854233	LOW
blaCMY-85	blaCMY	BETA_LACTAM	147	13.089	0.384817	5389.93	12.5572	LOW
blaCMY-87	blaCMY	BETA_LACTAM	6	11.5183	0.0157068	219.997	0.51254	LOW
blaCMY-90	blaCMY	BETA_LACTAM	32	11.5183	0.0837696	1173.32	2.73354	LOW
blaCTX-M-102	blaCTX	BETA_LACTAM	3	11.3014	0.010274	143.902	0.335257	LOW
blaCTX-M-112	blaCTX	BETA_LACTAM	138	17.1233	0.472603	6619.5	15.4218	LOW
blaCTX-M-113	blaCTX	BETA_LACTAM	25	15.0685	0.0856164	1199.18	2.79381	LOW
blaCTX-M-124	blaCTX	BETA_LACTAM	4	7.19178	0.0136986	191.87	0.447009	LOW
blaCTX-M-126	blaCTX	BETA_LACTAM	1	7.53425	0.00342466	47.9674	0.111752	LOW
blaCTX-M-147	blaCTX	BETA_LACTAM	723	17.1233	2.47603	34680.4	80.7969	HIGH
blaCTX-M-151	blaCTX	BETA_LACTAM	8	10.4918	0.0262295	367.383	0.855913	LOW
blaCTX-M-161	blaCTX	BETA_LACTAM	80	17.1233	0.273973	3837.39	8.94019	LOW
blaCTX-M-173	blaCTX	BETA_LACTAM	15	17.1233	0.0513699	719.511	1.67629	LOW
blaCTX-M-175	blaCTX	BETA_LACTAM	3	11.3014	0.010274	143.902	0.335257	LOW
blaCTX-M-176	blaCTX	BETA_LACTAM	293	17.1233	1.00342	14054.4	32.7434	MODERATE
blaCTX-M-177	blaCTX	BETA_LACTAM	35	15.411	0.119863	1678.86	3.91133	LOW
blaCTX-M-41	blaCTX	BETA_LACTAM	6	16.4384	0.0205479	287.804	0.670514	LOW
blaCTX-M-43	blaCTX	BETA_LACTAM	1	7.87671	0.00342466	47.9674	0.111752	LOW
blaCTX-M-46	blaCTX	BETA_LACTAM	36	16.4384	0.123288	1726.83	4.02308	LOW
blaCTX-M-48	blaCTX	BETA_LACTAM	1	6.84932	0.00342466	47.9674	0.111752	LOW
blaCTX-M-52	blaCTX	BETA_LACTAM	5	16.7808	0.0171233	239.837	0.558762	LOW
blaCTX-M-54	blaCTX	BETA_LACTAM	1	10.6164	0.00342466	47.9674	0.111752	LOW
blaCTX-M-68	blaCTX	BETA_LACTAM	3	11.3014	0.010274	143.902	0.335257	LOW
blaCTX-M-69	blaCTX	BETA_LACTAM	5	6.84932	0.0171233	239.837	0.558762	LOW
blaCTX-M-84	blaCTX	BETA_LACTAM	23	17.1233	0.0787671	1103.25	2.5703	LOW
blaCTX-M-85	blaCTX	BETA_LACTAM	8	15.0685	0.0273973	383.739	0.894019	LOW
blaCTX-M-88	blaCTX	BETA_LACTAM	19	17.1233	0.0650685	911.38	2.12329	LOW
blaCTX-M-90	blaCTX	BETA_LACTAM	347	17.1233	1.18836	16644.7	38.7781	MODERATE
blaCTX-M-91	blaCTX	BETA_LACTAM	599	17.1233	2.05137	28732.5	66.9397	HIGH
blaDHA-10	blaDHA	BETA_LACTAM	1	10	0.00263158	36.8591	0.0858729	LOW
blaDHA-24	blaDHA	BETA_LACTAM	55	12.6316	0.144737	2027.25	4.72301	LOW
blaEC-18	blaEC	BETA_LACTAM	25	11.6402	0.0661376	926.354	2.15818	LOW
blaESP-1	blaESP	BETA_LACTAM	9	14.7766	0.0309278	433.19	1.00923	LOW
blaFOX-13	blaFOX	BETA_LACTAM	8	12.2715	0.0208877	292.563	0.681602	LOW
blaGES-23	blaGES	BETA_LACTAM	5	6.94444	0.0173611	243.168	0.566522	LOW
blaGES-25	blaGES	BETA_LACTAM	94	17.3611	0.326389	4571.56	10.6506	LOW
blaGES-8	blaGES	BETA_LACTAM	1	6.94444	0.00347222	48.6336	0.113304	LOW
blaGIM-2	blaGIM	BETA_LACTAM	512	17.5299	2.03984	28571	66.5634	HIGH
blaGOB-11	blaGOB	BETA_LACTAM	9	13.6519	0.0307167	430.233	1.00234	LOW
